term,answer,category
Consumer Leasing Act (CLA),"Implemented by the Federal Reserve under Regulation M, this act requires lessors of personal property (such as cars or appliances) to provide consumers with clear lease terms, including payments, fees, and conditions for early termination.",Federal Reserve Regulations
Term Asset-Backed Securities Loan Facility (TALF),"A Federal Reserve program designed to facilitate the issuance of asset-backed securities (ABS) by providing loans to holders of eligible ABS. The goal is to stabilize the ABS market and improve the flow of credit to households and businesses, particularly in times of economic strain.",Federal Reserve Regulations
Primary Dealer Credit Facility (PDCF),"A lending facility that allows primary dealers to borrow funds from the Federal Reserve to finance a wide range of collateral, including U.S. government securities. This facility ensures liquidity for major dealers in times of market stress.",Federal Reserve Regulations
Commercial Paper Funding Facility (CPFF),"A Federal Reserve facility that provides liquidity to U.S. issuers of commercial paper by purchasing unsecured and asset-backed commercial paper, supporting the flow of short-term credit to businesses.",Federal Reserve Regulations
Money Market Mutual Fund Liquidity Facility (MMLF),"A Federal Reserve program that provides loans to banks to purchase assets from money market mutual funds, ensuring liquidity and stability in money markets during financial crises.",Federal Reserve Regulations
Swap Lines,"A tool used by the Federal Reserve to exchange currencies with foreign central banks to ensure liquidity in U.S. dollars globally, particularly during times of financial instability. These swap lines are crucial in supporting global financial systems.",Federal Reserve Regulations
Regulation A (Discount Window Lending),"This regulation governs the Federal Reserve’s lending to depository institutions through the discount window, including setting the terms and conditions under which such loans are made, typically during liquidity shortages.",Federal Reserve Regulations
Regulation D (Reserve Requirements),"Governs reserve requirements for depository institutions, setting the minimum amount of reserves banks must hold against deposits and limits on withdrawals from savings accounts.",Federal Reserve Regulations
Regulation E (Electronic Funds Transfers),"Establishes the rights and responsibilities of consumers and financial institutions regarding electronic fund transfers, including ATM transactions and online banking, to protect consumers from fraud and unauthorized transfers.",Federal Reserve Regulations
Regulation T (Credit by Brokers and Dealers),"Governs the extension of credit by brokers and dealers to customers for the purchase of securities, including setting margin requirements for such transactions.",Federal Reserve Regulations
Regulation U (Credit by Banks for Securities Purchases),"Governs the amount of credit banks can extend for the purchase of securities, helping to limit excessive leverage in the financial system.",Federal Reserve Regulations
Regulation BB (Community Reinvestment Act),"Implements the Community Reinvestment Act, requiring banks to meet the credit needs of their communities, particularly in low- and moderate-income areas, and ensures fair access to credit.",Federal Reserve Regulations
Regulation CC (Availability of Funds and Collection of Checks),"Sets rules for the availability of funds and the timing of when deposited funds must be made available to customers, as well as the collection of checks through the banking system.",Federal Reserve Regulations
Main Street Lending Program,"A Federal Reserve program designed to provide credit support to small and medium-sized businesses that were in good financial standing before the COVID-19 pandemic. It offers four-year loans to companies employing up to 15,000 workers or with revenues of up to $5 billion.",Federal Reserve Regulations
Paycheck Protection Program Liquidity Facility (PPPLF),"A Federal Reserve program established to extend loans to financial institutions participating in the Paycheck Protection Program (PPP), which was designed to provide loans to small businesses to retain workers during the COVID-19 pandemic.",Federal Reserve Regulations
Regulation X (Borrower Restraints on Credit Transactions),"This regulation applies to borrowers of securities credit and prohibits certain evasive actions that might circumvent the limitations imposed by Regulations T and U, ensuring the integrity of credit markets.",Federal Reserve Regulations
Financial Stability Oversight Council (FSOC) Collaboration,"The Federal Reserve works closely with the FSOC, a body established to identify and monitor systemic risks to the financial system. While FSOC oversees macroprudential risks, the Fed focuses on ensuring financial institutions comply with regulations that maintain system stability.",Federal Reserve Regulations
Fedwire Funds Service,"A real-time gross settlement (RTGS) system operated by the Federal Reserve Banks that allows financial institutions to electronically transfer funds in real-time, providing critical infrastructure for high-value payments in the U.S.",Federal Reserve Regulations
Primary Market Corporate Credit Facility (PMCCF),"A Federal Reserve program that provided direct support to large employers by purchasing newly issued corporate bonds, facilitating credit availability during the COVID-19 pandemic.",Federal Reserve Regulations
Secondary Market Corporate Credit Facility (SMCCF),"A complementary facility to the PMCCF, this allowed the Federal Reserve to purchase existing corporate bonds and exchange-traded funds (ETFs) to ensure liquidity in the corporate bond market.",Federal Reserve Regulations
"Regulation O (Loans to Executive Officers, Directors, and Principal Shareholders)","Limits the amount of credit that a bank can extend to its executive officers, directors, and principal shareholders, aimed at preventing conflicts of interest and excessive risk-taking within financial institutions.",Federal Reserve Regulations
Regulation D Amendments (2020),"In response to the COVID-19 pandemic, the Federal Reserve removed the six-per-month limit on transfers or withdrawals from savings accounts, allowing consumers more flexibility in accessing their savings during times of financial uncertainty.",Federal Reserve Regulations
Liquidity Swap Lines,"A tool used by the Federal Reserve in coordination with other central banks to exchange U.S. dollars for foreign currency, ensuring liquidity in foreign exchange markets, especially in times of global financial stress.",Federal Reserve Regulations
Regulation J (Collection of Checks and Other Items by Federal Reserve Banks),"Governs the handling of checks and other items by Federal Reserve Banks, including rules for check clearing and electronic fund transfers.",Federal Reserve Regulations
Term Deposit Facility (TDF),"A tool used by the Federal Reserve to manage the quantity of reserves in the banking system by offering term deposits to eligible institutions, helping to drain excess reserves when needed.",Federal Reserve Regulations
Regulation L (Interlocking Directorates),"Prohibits a person from simultaneously serving as a director or officer of two or more banks or financial institutions that are in direct competition with each other, aiming to prevent conflicts of interest.",Federal Reserve Regulations
Regulation G (Disclosure and Reporting of CRA-Related Agreements),"Requires financial institutions and other interested parties to disclose certain agreements related to the Community Reinvestment Act (CRA), ensuring transparency in agreements designed to meet community credit needs.",Federal Reserve Regulations
Regulation K (International Banking Operations),"Governs the international banking operations of U.S. banking organizations, including overseas branches, investments, and foreign banks' operations within the United States. This regulation ensures that international banking activities comply with U.S. laws and are monitored for safety and soundness.",Federal Reserve Regulations
Regulation I (Issue and Cancellation of Capital Stock of Federal Reserve Banks),"Sets the rules for the issuance, transfer, and cancellation of Federal Reserve Bank stock to member banks. This regulation ensures that banks maintain the appropriate amount of stock in their Federal Reserve Bank based on their capitalization.",Federal Reserve Regulations
Regulation R (Exceptions for Banks from Securities Broker Activities),"Provides exceptions for certain securities-related activities conducted by banks, allowing them to engage in limited brokerage services without being classified as securities brokers, which would subject them to additional regulations.",Federal Reserve Regulations
Supervision of Systemically Important Financial Institutions (SIFIs),"Refers to the Federal Reserve’s enhanced supervision of institutions deemed systemically important due to their size, complexity, and interconnectedness. This supervision includes stricter capital and liquidity requirements to mitigate risks to the broader financial system.",Federal Reserve Regulations
Regulation DD (Truth in Savings Act),"Requires depository institutions to provide clear and uniform information about interest rates, fees, and terms of deposit accounts to consumers, helping consumers make informed decisions about savings accounts.",Federal Reserve Regulations
Regulation CC Amendments (Expedited Funds Availability),"Sets the timeframes for when deposited funds, particularly checks, must be made available to consumers. Recent amendments have focused on speeding up the availability of funds and modernizing the check collection process.",Federal Reserve Regulations
Regulation AA (Unfair or Deceptive Acts or Practices),A now-defunct regulation that previously outlined the Federal Reserve's authority to address unfair or deceptive acts or practices in the banking industry. It was intended to protect consumers from abusive lending and other harmful financial practices.,Federal Reserve Regulations
Intraday Liquidity Management,"Refers to Federal Reserve guidelines that require financial institutions to manage their liquidity positions throughout the business day, ensuring that they can meet payment obligations as they come due. This is critical for the smooth functioning of the payment system and broader financial markets.",Federal Reserve Regulations
Regulation NN (Unclaimed Balances),"Governs how Federal Reserve Banks handle unclaimed balances, requiring them to keep detailed records of such balances and report them to the Treasury after a certain period if unclaimed by the depositor or their legal representative.",Federal Reserve Regulations
Regulation RR (Credit Risk Retention),"Part of the Dodd-Frank Act, this regulation requires securitizers of asset-backed securities (ABS) to retain at least 5% of the credit risk, encouraging them to align their interests with those of investors and prevent excessive risk-taking.",Federal Reserve Regulations
Federal Reserve Act Section 13(3) Emergency Lending Powers,"Grants the Federal Reserve the authority to lend to non-bank entities in “unusual and exigent circumstances,” as seen during the 2008 financial crisis and the COVID-19 pandemic, providing critical liquidity to stabilize financial markets.",Federal Reserve Regulations
Foreign Banking Organization (FBO) Supervision,"Refers to the Federal Reserve’s regulatory oversight of foreign banks with U.S. operations, including requirements for maintaining adequate capital and liquidity for their U.S. branches and subsidiaries.",Federal Reserve Regulations
Interest Rate Risk (IRR) Management,"Guidelines issued by the Federal Reserve for banks to manage their exposure to changes in interest rates, ensuring that they have strategies to mitigate potential negative impacts on earnings or capital.",Federal Reserve Regulations
Payment System Risk (PSR) Policy,"Establishes policies for managing the risks posed by large-dollar payments processed through Fedwire and other payment systems, aiming to reduce systemic risk from delayed or failed payments.",Federal Reserve Regulations
Principles for Financial Market Infrastructures (PFMI),"The Federal Reserve applies these international standards to ensure that payment systems, clearinghouses, and central securities depositories operate in a way that promotes financial stability.",Federal Reserve Regulations
Federal Reserve Supervisory Letters (SR Letters),"Official guidance issued by the Federal Reserve to banks and other supervised entities on regulatory expectations, covering topics like capital adequacy, liquidity, and risk management.",Federal Reserve Regulations
Supplementary Leverage Ratio (SLR),"A regulatory requirement that large U.S. banks must maintain a minimum ratio of tier 1 capital to leverage exposure, enhancing the resilience of the banking system during financial stress.",Federal Reserve Regulations
Regulation H (Lending Limits for State-Member Banks),"This provision under Regulation H sets lending limits for state-chartered member banks to avoid excessive exposure to individual borrowers, promoting diversification and reducing risk.",Federal Reserve Regulations
Bank Secrecy Act (BSA) Compliance,"Refers to the Federal Reserve’s guidelines for banks to comply with anti-money laundering (AML) laws under the BSA, including requirements for reporting suspicious activities and maintaining internal controls.",Federal Reserve Regulations
Financial Market Utilities (FMU) Supervision,"Involves the Federal Reserve’s oversight of systemically important FMUs, such as clearinghouses and payment systems, to ensure their resilience and ability to function during financial stress.",Federal Reserve Regulations
Net Stable Funding Ratio (NSFR),A regulatory requirement aimed at promoting the stability of banks by ensuring they maintain a stable funding profile relative to their assets over a one-year period.,Federal Reserve Regulations
Regulation EE (Financial Market Participants),"Defines certain financial institutions, such as banks and clearing organizations, as “financial market participants,” exempting them from certain restrictions on netting contracts under bankruptcy laws.",Federal Reserve Regulations
Operational Risk Management,"Guidelines from the Federal Reserve that require banks to identify, assess, and mitigate risks stemming from failed internal processes, systems, or external events to ensure operational continuity.",Federal Reserve Regulations
Enhanced Prudential Standards (EPS),"A set of heightened regulations for large, systemically important financial institutions (SIFIs) to mitigate risks that could pose threats to the overall financial system, covering capital, liquidity, and risk management.",Federal Reserve Regulations
Small Bank Holding Company and Savings and Loan Holding Company Policy Statement,"A Federal Reserve rule allowing smaller bank holding companies to operate with less regulatory capital than larger ones, promoting flexibility for community banks.",Federal Reserve Regulations
Resolution Planning (Recovery and Resolution Plans),Requires large financial institutions to submit plans to the Federal Reserve outlining how they would recover from financial distress or be wound down in an orderly way without disrupting the financial system.,Federal Reserve Regulations
Large Institution Supervision Coordinating Committee (LISCC),"The Federal Reserve’s committee responsible for overseeing the supervision of the largest, most complex financial institutions in the U.S., including the enforcement of safety and soundness standards.",Federal Reserve Regulations
Supervisory Stress Scenarios,"The Federal Reserve provides these economic and financial scenarios to large financial institutions, which they use to conduct internal stress tests to evaluate their resilience under adverse conditions.",Federal Reserve Regulations
Federal Reserve Capital Plan Rule,"A rule that requires large banks to submit capital plans annually, ensuring that they have adequate capital to cover potential losses in stressed economic conditions.",Federal Reserve Regulations
Liquidity Stress Testing Guidelines,Federal Reserve guidelines that mandate banks to perform regular stress tests to assess their ability to maintain adequate liquidity under adverse market conditions.,Federal Reserve Regulations
Lender of Last Resort (LOLR),"A core function of the Federal Reserve, where it provides emergency liquidity to financial institutions facing short-term liquidity shortages, helping to stabilize the financial system during crises.",Federal Reserve Regulations
Large Institution Supervision Coordinating Committee (LISCC) Framework,"The LISCC is an oversight framework by the Federal Reserve that focuses on the supervision of the largest, most complex financial institutions in the U.S. It addresses risks to financial stability by ensuring robust risk management, liquidity, and capital standards for these systemically important institutions.",Federal Reserve Regulations
Regulation S (Reimbursement for Providing Financial Records),This regulation specifies how financial institutions can be reimbursed for expenses incurred when providing customer records in response to government requests. It ensures that banks are fairly compensated for compliance with legal demands related to law enforcement investigations and regulatory inquiries.,Federal Reserve Regulations
Foreign Banking Organization (FBO) Supervision,"The Federal Reserve oversees the U.S. operations of foreign banking organizations to ensure they comply with U.S. laws and maintain safety and soundness. The Fed requires these institutions to meet similar standards to U.S. banks, particularly in areas like liquidity and risk management.",Federal Reserve Regulations
Regulation V (Fair Credit Reporting Act),"This regulation governs the responsibilities of financial institutions in relation to credit reporting. It ensures that the credit information provided by financial institutions is accurate, timely, and reflective of a consumer's credit activity, protecting consumers from unfair credit practices.",Federal Reserve Regulations
Regulation F (Limitations on Interbank Liabilities),"This regulation limits the risks that banks take on when dealing with other banks. It imposes certain limits on the exposure that depository institutions can have to other banks, ensuring that banks do not take on excessive credit risk from their relationships with other institutions, promoting overall financial stability.",Federal Reserve Regulations
